id,doi,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work,abstract
10.2307/20798956,10.2307/20798956,Trade and asymmetric alliances,Benjamin O Fordham,Journal of Peace Research,47,6,2010-11-01T00:00:00Z,pp. 685-696,"Sage Publications, Ltd.",fla,,"Alliances are usually understood as a way for states to aggregate military capabilities in the face of a common threat. From this perspective, the willingness of relatively powerful states to form alliances with much weaker partners is puzzling. The weaker ally often adds little to the stronger state's security and may increase its chance of military entanglement. This article presents evidence that international trade helps explain these alliances. States that have the power to do so have incentives to protect their trading relationships against interference from either third states or internal conflict. Alliances are one means of providing this protection. This argument differs from most other research on trade and alliances, which reverses the causal arrow and suggests instead that alliances increase trade. Empirical analysis indicates that trade increases the probability of alliance formation in major power—minor power dyads and decreases the chance that alliances will dissolve. These results are robust to a variety of changes in the specification of the model and the data used for estimation. They also do not stem from any influence of alliance relationships on trade. An analysis of the effect of alliance formation on change in the level of bilateral trade turns up no evidence that the formation of an alliance increases commerce."
10.2307/2647780,10.2307/2647780,Electoral Laws and the Effective Number of Candidates in Presidential Elections,Mark P. Jones,The Journal of Politics,61,1,1999-02-01T00:00:00Z,pp. 171-184,"Cambridge University Press, Southern Political Science Association",fla,,"This study employs data from 33 countries over a 50-year period to analyze the institutional determinants of the effective number of presidential candidates. I find the presidential electoral formula-plurality versus majority runoff-to have a strong and significant impact on the effective number of candidates, thereby providing the most substantial support thus far for Duverger's propositions at the presidential level. Unlike previous cross-national studies, I also test for the effect of the presence or absence of an incumbent presidential candidate. The presence of an incumbent has a significant reductive effect on the effective number of candidates."
10.2307/40931149,10.2307/40931149,Explaining the Deterrence Effect of Human Rights Prosecutions for Transitional Countries,"Hunjoon Kim, Kathryn Sikkink",International Studies Quarterly,54,4,2010-12-01T00:00:00Z,pp. 939-963,"The International Studies Association, Wiley",fla,,"Human rights prosecutions have been the major policy innovation of the late twentieth century designed to address human rights violations. The main justification for such prosecutions is that sanctions are necessary to deter future violations. In this article, we use our new data set on domestic and international human rights prosecutions in 100 transitional countries to explore whether prosecuting human rights violations can decrease repression. We find that human rights prosecutions after transition lead to improvements in human rights protection, and that human rights prosecutions have a deterrence impact beyond the confines of the single country. We also explore the mechanisms through which prosecutions lead to improvements in human rights. We argue that impact of prosecutions is the result of both normative pressures and material punishment and provide support for this argument with a comparison of the impact of prosecutions and truth commissions, which do not involve material punishment."
10.2307/23019691,10.2307/23019691,Weak States and Institutionalized Bargaining Power in International Organizations,Christina J. Schneider,International Studies Quarterly,55,2,2011-06-01T00:00:00Z,pp. 331-355,"The International Studies Association, Wiley",fla,,"When and how can weak states increase their bargaining leverage in international organizations? I argue that during phases of routine bargaining, distributional outcomes depend on the states' political and economic leverage and less on the formal allocation rules, so they are unfavorable to weak states. This changes in phases of extraordinary bargaining, which are occasioned by significant reform such as enlargement. States that expect distributional conflict from enlargement can threaten to block accession negotiations and increase their membership benefits even if they are politically weak. Statistical and qualitative analyses of distributional bargaining in the European Union support the theoretical claims."
10.2307/30218976,10.2307/30218976,Is the Law a Mere Parchment Barrier to Human Rights Abuse?,"Linda Camp Keith, C. Neal Tate, Steven C. Poe",The Journal of Politics,71,2,2009-04-01T00:00:00Z,pp. 644-660,"Cambridge University Press, Southern Political Science Association",fla,,"The ""mere parchment barriers"" created by constitutional provisions may lead to decreases in the extent to which nations abuse the human right not to be imprisoned, tortured, killed, or made to disappear arbitrarily or because of your political views. A global pooled cross-national time-series analysis for a 21-year period shows that adopting selected constitutional provisions protecting individual rights and freedoms, promoting judicial independence, and guarding against states of emergency-and keeping the provisions in place for 10 years-has the potential to reduce a nation's level of state terror substantially, from one in which political imprisonment affects large numbers of the politically active population and political murders are common, to one where the rule of law is secure, for example. We report significant caveats about and limitations of the research. Nevertheless, we conclude that, since it may be easier to change constitutions than to build effective democracy, to create massive amounts of new wealth, or to avoid or defuse deeply ingrained conflicts, these findings have possible policy and scientific importance."
10.2307/440340,10.2307/440340,Bicameralism and Budget Deficits: The Effect of Parliamentary Structure on Government Spending,William B. Heller,Legislative Studies Quarterly,22,4,1997-11-01T00:00:00Z,pp. 485-516,Comparative Legislative Research Center,fla,,"In this study I look at the relationship between bicameralism and government budget deficits. The more actors there are who can kill legislation or influence its content, the more deals must be cut to pass a budget. Bicameralism sets up a bilateral veto game between legislative chambers, which leads to higher government budget deficits, all else constant. Since it is easier to cut deals to raise spending than to raise taxes, the need to cut deals across the chambers of a bicameral legislature generally leads to higher spending and, hence, higher deficits. I test this hypothesis on a sample of deficits from 17 countries, from 1965 to 1990."
10.2307/4148037,10.2307/4148037,"Political, Economic, and Social Consequences of Foreign Military Intervention","Jeffrey Pickering, Emizet F. Kisangani",Political Research Quarterly,59,3,2006-09-01T00:00:00Z,pp. 363-376,"Sage Publications, Inc., University of Utah",fla,,"Foreign military intervention is one of the most common types of interstate military force used over recent decades. As war's costliness increases and the efficacy of economic sanctions and other foreign policy tools is increasingly questioned, it may become even more prevalent. Unfortunately, the field of international relations has little systematic understanding of the types of impacts such military ventures can have on target states in the developing world. In PCSE AR1 regressions of 106 developing countries from 1960 to 2002, we find that large scale foreign military interventions, which have over 1000 intervening troops, do not leave a significant imprint on governing institutions, economic growth rates, or physical quality of life in developing democracies. The same cannot be said for non-democratic states in the developing world. Hostile interventions can help to democratize non-democratic targets, while rival interventions lay the groundwork for long-term economic growth."
10.2307/3693628,10.2307/3693628,"Kantian Liberalism, Regime Type, and Military Resource Allocation: Do Democracies Spend Less?","Benjamin O. Fordham, Thomas C. Walker",International Studies Quarterly,49,1,2005-03-01T00:00:00Z,pp. 141-157,"The International Studies Association, Wiley",fla,,"In this paper, we evaluate the liberal claim that democratic states devote fewer resources to their militaries. Low military spending is thought to avert conflict spirals and release more resources to fund domestic programs. While prominent in many liberal international relations theories, most notably in Immanuel Kant's, this proposition has received little empirical scrutiny. Using several indicators of military resource allocation and data on a wide range of states since 1816, we find empirical support for the liberal argument, although regime type is not necessarily the strongest influence on military resource allocation."
10.2307/440282,10.2307/440282,Boll Weevils and Roll-Call Voting: A Study in Time and Space,"M. V. Hood III, Irwin L. Morris",Legislative Studies Quarterly,23,2,1998-05-01T00:00:00Z,pp. 245-269,Comparative Legislative Research Center,fla,,"Using a pooled time-series analysis of southern congressional districts from 1983 to 1992, we evaluate theories associating constituency and institutional factors with recent shifts in the voting patterns of southern Democrats. While we find that Democrats serving areas with larger minority populations and more progressive white populations tend to be more liberal, the greatest portion of the aggregate liberalization of voting patterns is attributable to cohort change. Voting records of southern Democrats elected prior to 1982 remained relatively constant, and we find no evidence of any general trend in the recent voting patterns of southern Democrats when controlling for other factors."
10.2307/3525707,10.2307/3525707,"Salience, Complexity, and the Legislative Direction of Regulatory Bureaucracies","Evan J. Ringquist, Jeff Worsham, Marc Allen Eisner",Journal of Public Administration Research and Theory: J-PART,13,2,2003-04-01T00:00:00Z,pp. 141-164,"Oxford University Press, Public Management Research Association",fla,,"Questions regarding the political control of administrative agencies have played a major role in reinvigorating the study of bureaucracy. Scholars have employed increasingly sophisticated analyses to demonstrate that it is possible, even likely, for elected officials to direct bureaucratic behavior. But while theoretical models derive expectations regarding both the propensity and the effectiveness of efforts at political control, nearly all empirical research has focused on only the latter. In this article we extend empirical analyses to study under what conditions efforts at political control of the bureaucracy are more or less likely. Specifically, we assess the effects that public salience and technical complexity have on the willingness of elected officials to use legislation to direct the behavior of four federal regulatory agencies from 1949 to 1996. The results from these analyses demonstrate the utility of using the core concepts of salience and complexity to predict the likelihood of legislative direction of agency behavior."
10.2307/25655407,10.2307/25655407,The Conceptual Complexity of Central Bankers and the Asian Financial Crisis,Cameron G. Thies,Political Psychology,30,3,2009-06-01T00:00:00Z,pp. 445-464,International Society of Political Psychology,fla,,"This paper examines the impact of the conceptual complexity of central bankers on exchange rate volatility during the Asian Financial Crisis of the late 1990s. Theoretically, this paper develops a framework to study the cognitive style of individual central bankers in conjunction with the institutional features of the central banks they head. The paper also controls for a variety of other common explanations for exchange rate volatility during this time period, including the number of veto players representing the political system and underlying structural features of the Asian economies. Empirically, the cross-sectional time-series analysis finds that more conceptually complex central bankers were able to reduce exchange rate volatility during the crisis years, especially when they inhabited highly independent central banks. This paper concludes that linking the study of key individuals to macroeconomic outcomes in the global political economy is a promising area of research."
10.2307/20680248,10.2307/20680248,The Institutional and Demographic Determinants of Latino Representation,JASON P. CASELLAS,Legislative Studies Quarterly,34,3,2009-08-01T00:00:00Z,pp. 399-426,Comparative Legislative Research Center,fla,,"Under what conditions are Latino candidates elected to Congress and state legislatures? How much does the ethnic composition of a district affect the chances that a Latino candidate will be elected in that district? Latinos constitute the single largest minority group in the country, one that is growing at an exponential rate. Post-2000 redistricting created more majority-Latino districts, but the absolute number of Latino legislators did not increase correspondingly. My analysis demonstrates that states with citizen legislatures and with higher legislative turnover rates are more conducive to the election of Latino candidates than are other states. Institutional and demographic differences among states affect the states' Latino descriptive representation. Namely, the institutional design of the legislature matters in terms of electoral responsiveness, with Arizona and California being the most responsive bodies and New York and the U.S. House the least responsive."
10.2307/41759319,10.2307/41759319,Deriving a Forecast Model for European Election Turnout,"Jocelyn Evans, Gilles Ivaldi",Political Research Quarterly,65,4,2012-12-01T00:00:00Z,pp. 855-867,"Sage Publications, Inc., University of Utah",fla,,"Turnout is a key indicator in European Parliament elections in the absence of a direct executive outcome. Forecasting turnout is an important exercise in requiring the identification of a parsimonious model with good lead time from the array of structural, demographic, and attitudinal variables employed in rich explanatory models of turnout, and simultaneously minimizing prediction error. Building on a series of regression models using aggregate data, this article explores the applicability of such an approach to turnout in the EU-27 countries and considers the explanatory added value that deriving such a forecast model can also provide."
10.2307/27640712,10.2307/27640712,"Disarming Fears of Diversity: Ethnic Heterogeneity and State Militarization, 1988-2002","Indra de Soysa, Eric Neumayer",Journal of Peace Research,45,4,2008-07-01T00:00:00Z,pp. 497-518,"Sage Publications, Ltd.",fla,,"This study investigates whether ethnic and other forms of social diversity affect militarization of society. Recent scholarship in economics finds that high diversity leads to lower provision of public goods. At the same time, many conflict studies find that highly diverse societies face a lower risk of civil war, as opposed to relatively more homogenous populations. The authors explore whether diversity prompts governments to militarize heavily in order to prevent armed conflict, which would then crowd out spending on other public goods in a 'guns versus butter' trade-off. Thus, 'preventive militarization' would explain both outcomes. Yet the authors find the opposite: higher levels of ethnic diversity predict lower levels of militarization. If high diversity lowers the hazard of civil war, as many find, then it does not happen via preventive militarization. If diverse societies spend less on public goods, then this is not because they are crowded out by security spending. The results support those who suggest that diversity may, in fact, pose a lower security threat to states, since it is highly likely that states facing potential social strife would prioritize state militarization."
10.2307/20622740,10.2307/20622740,Electoral Systems in Latin America: Explaining the Adoption of Proportional Representation Systems during the Twentieth Century,Laura Wills-Otero,Latin American Politics and Society,51,3,2009-10-01T00:00:00Z,pp. 33-58,"Center for Latin American Studies at the University of Miami, Wiley",fla,,This article explains the twentieth-century Latin American shift from majoritarian to proportional representation (PR) electoral systems. It argues that PR was introduced when the electoral arena changed significantly and threatened the power of the dominant party. The adoption of PR was therefore an effort by the established party to retain partial power in the face of absolute defeat. Majoritarian systems remained in place when the incumbent party was strong enough to believe that it could gain a plurality of the votes despite electoral changes. An empirical analysis of 20 countries over 104 years (1900-2004) provides support for this argument.
10.2307/23016230,10.2307/23016230,Emergency and Escape: Explaining Derogations from Human Rights Treaties,"Emilie M. Hafner-Burton, Laurence R. Helfer, Christopher J. Fariss",International Organization,65,4,2011-10-01T00:00:00Z,pp. 673-707,"Cambridge University Press, International Organization Foundation, The MIT Press, University of Wisconsin Press",fla,,"Several prominent human rights treaties seek to minimize violations during emergencies by authorizing states to ""derogate""—that is, to suspend certain civil and political liberties—in response to crises. The drafters of these treaties envisioned that international restrictions on derogations, together with international notification and monitoring mechanisms, would limit rights suspensions during emergencies. This article analyzes the behavior of derogating countries using new global data sets of derogations and states of emergency from 1976 to 2007. We argue that derogations are a rational response to domestic political uncertainty. They enable governments facing serious threats to buy time and legal breathing space from voters, courts, and interest groups to confront crises while signaling to these audiences that rights deviations are temporary and lawful. Our findings have implications for studies of treaty design and flexibility mechanisms, and compliance with international human rights agreements."
10.2307/20779585,10.2307/20779585,The Behavioral Logic of Collective Action: Partisans Cooperate and Punish More Than Nonpartisans,"Oleg Smirnov, Christopher T. Dawes, James H. Fowler, Tim Johnson, Richard McElreath",Political Psychology,31,4,2010-08-01T00:00:00Z,pp. 595-616,International Society of Political Psychology,fla,,"Laboratory experiments indicate that many people willingly contribute to public goods and punish free riders at a personal cost. We hypothesize that these individuals, called strong reciprocators, allow political parties to overcome collective action problems, thereby allowing those organizations to compete for scarce resources and to produce public goods for like-minded individuals. Using a series of laboratory games, we examine whether partisans contribute to public goods and punish free riders at a greater rate than nonpartisans. The results show that partisans are more likely than nonpartisans to contribute to public goods and to engage in costly punishment. Given the broad theoretical literature on altruistic punishment and group selection as well as our own formal evolutionary model, we hypothesize that it is being a partisan that makes an individual more likely to be a strong reciprocator and not vice versa."
10.2307/2585575,10.2307/2585575,"Party Systems and Electoral Volatility in Latin America: A Test of Economic, Institutional, and Structural Explanations","Kenneth M. Roberts, Erik Wibbels",The American Political Science Review,93,3,1999-09-01T00:00:00Z,pp. 575-590,American Political Science Association,fla,,"Three different theoretical explanations are tested for the exceptionally high level of electoral volatility found in contemporary Latin America: economic voting, institutional characteristics of political regimes and party systems, and the structure and organization of class cleavages. A pooled cross-sectional time-series regression analysis is conducted on 58 congressional elections and 43 presidential elections in 16 Latin American countries during the 1980s and 1990s. Institutional variables have the most consistent effect on volatility, while the influence of economic performance is heavily contingent upon the type of election and whether the dependent variable is operationalized as incumbent vote change or aggregate electoral volatility. The results demonstrate that electoral volatility is a function of short-term economic perturbations, the institutional fragilities of both democratic regimes and party systems, and relatively fluid cleavage structures."
10.2307/23355102,10.2307/23355102,Of Courts and Commerce,"Matthew J. Gabel, Clifford J. Carrubba, Caitlin Ainsley, Donald M. Beaudette",The Journal of Politics,74,4,2012-10-01T00:00:00Z,pp. 1125-1137,"Cambridge University Press, Southern Political Science Association",fla,,"Courts often interpret and attempt to enforce rules designed to economically integrate federal and international organizations. In this article, we investigate to what degree court rulings can liberalize trade by examining data from the European Court of Justice (ECJ). Studying the ECJ allows us to compare the Court's effectiveness through two different mechanisms: infringement proceedings, which are purely a form of international adjudication, and preliminary references, which are applied through national courts. We find infringement rulings have no effect on a nation's intra-EU imports, while preliminary rulings have a positive, though temporary, effect on a nation's intra-EU imports."
10.2307/2647645,10.2307/2647645,"The Dynamics of Senatorial Representation, 1952-1991","B. Dan Wood, Angela Hinton Andersson",The Journal of Politics,60,3,1998-08-01T00:00:00Z,pp. 705-736,"Cambridge University Press, Southern Political Science Association",fla,,"We propose a dynamic model of representation that posits that representatives adapt through time to minimize the distance between policy choices and constituent, global, and personal preferences. Several hypotheses flow from the dynamic model: (1) equilibria develop through time in senator policy choice; (2) representatives adapt through time to global, as well as constituent preferences; (3) the manner in which adaptation occurs depends on the strength of the representative's personal ideology; (4) the manner in which adaptation occurs depends on various measures of constituency efficiency. We use pooled time-series cross-section analysis of covariance techniques to evaluate the preceding hypotheses. The analysis shows that senators integrate constituent, global, and personal preferences. Equilibria exist through time in Senator Policy Liberalism Adaptation to and from the equilibria depends on global and constituent preferences and efficiency. The manner of adaptation also depends on the strength of the representative's ideology and the efficiency of the constituency."
10.2307/25193816,10.2307/25193816,Do Authoritarian Institutions Constrain? How Legislatures Affect Economic Growth and Investment,Joseph Wright,American Journal of Political Science,52,2,2008-04-01T00:00:00Z,pp. 322-343,Midwest Political Science Association,fla,,"This article explores why authoritarian regimes create legislatures and then assesses their effect on economic growth and investment. In authoritarian regimes more dependent on domestic investment than natural resource revenue, the dictator creates a binding legislature as a credible constraint on the regime's confiscatory behavior. In regimes dependent on natural resource revenue, the nonbinding legislature serves as a mechanism for the dictator to bribe and split the opposition when he faces credible challenges to the regime. Using data from 121 authoritarian regimes from 1950 to 2002, the results indicate that binding legislatures have a positive impact on economic growth and domestic investment, while nonbinding legislatures have a negative impact on economic growth."
10.2307/27735123,10.2307/27735123,"Openness, Uncertainty, and Social Spending: Implications for the Globalization— Welfare State Debate","Irfan Nooruddin, Joel W. Simmons",International Studies Quarterly,53,3,2009-09-01T00:00:00Z,pp. 841-866,"The International Studies Association, Wiley",fla,,"We extend the literature on openness and spending in developing countries arguing that the effect of increasing openness depends on both regime type and the level of openness. Democracies respond to increases in openness by increasing spending while dictatorships respond by decreasing spending. However, the degree to which countries pursue the strategy of choice depends on the level of openness. In autarkic countries, an increase in import competition has more severe consequences for perceptions of job insecurity and dislocation. In response, government management of openness will be more vigorous under these conditions regardless of whether the leader increases or decreases spending. Economic selection mechanisms at work will produce an outcome wherein, at higher levels of openness, further import liberalization has smaller effects on perceptions of job insecurity and dislocation. Hence, both the demand and the supply of government management of openness will be lower."
10.2307/3096061,10.2307/3096061,Global Economic Patterns and Personal Integrity Rights after the Cold War,Clair Apodaca,International Studies Quarterly,45,4,2001-12-01T00:00:00Z,pp. 587-602,"The International Studies Association, Wiley",fla,,"With the end of the Cold War economic issues moved to the fore of the international agenda. The integration of markets, dominated by multinational corporations and orchestrated by international financial institutions, has many concerned for the political and economic rights of the common citizen. This is a comprehensive cross-national study examining the effect of globalization on the attainment of the subgroup of human rights known as personal integrity rights. The impact of global economic patterns on the attainment of these rights is mixed."
10.2307/3877857,10.2307/3877857,Rewarding Impatience: A Bargaining and Enforcement Model of OPEC,Lisa Blaydes,International Organization,58,2,2004-04-01T00:00:00Z,pp. 213-237,"Cambridge University Press, International Organization Foundation, The MIT Press, University of Wisconsin Press",fla,,"In this article, I make two primary contributions to the literature on international cooperation. First, I present a simple version of Fearon's bargaining and enforcement model and show that impatience (as captured in the discount factor) can be a source of bargaining strength when the outcome of the bargaining phase is followed by an enforcement phase that resembles a prisoners' dilemma. Second, I illustrate how to apply this model to the question of the division of cartel profits within the Organization of Petroleum Exporting Countries (OPEC), particularly with regard to the relationship between bargaining strength and disparate time horizons. I find that for some critical threshold level, states that discount the future more heavily tend to receive better oil production offers than those that do not. I examine empirical evidence that suggests that countries in OPEC fall into the range where this proposition holds; in other words, relatively poor, populous countries and relatively unstable ones are allowed by OPEC to overproduce."
