doi,title,author,journaltitle,volume,issue,pubdate,pagerange,abstract,FE type,N*T,Methods Citation,Time,Notes
10.2307/2944794,Enhancing Democracy Through Legislative Redistricting,"Andrew Gelman, Gary King",The American Political Science Review,88,3,1994-09-01,pp. 541-559,"We demonstrate the surprising benefits of legislative redistricting (including partisan gerrymandering) for American representative democracy. In so doing, our analysis resolves two long-standing controversies in American politics. First, whereas some scholars believe that redistricting reduces electoral responsiveness by protecting incumbents, others, that the relationship is spurious, we demonstrate that both sides are wrong: redistricting increases responsiveness. Second, while some researchers believe that gerrymandering dramatically increases partisan bias and others deny this effect, we show both sides are in a sense correct. Gerrymandering biases electoral systems in favor of the party that controls the redistricting as compared to what would have happened if the other party controlled it, but any type of redistricting reduces partisan bias as compared to an electoral system without redistricting. Incorrect conclusions in both literatures resulted from misjudging the enormous uncertainties present during redistricting periods, making simplified assumptions about the redistricters' goals, and using inferior statistical methods.",One-way(Within),,Stimson (1985) and Hsiao (1986),Lagged DV,
10.2307/2960193,"Does ""Motor Voter"" Work? Evidence from State-Level Data",Stephen Knack,The Journal of Politics,57,3,1995-08-01,pp. 796-811,"The National Voter Registration Act of 1993 mandates ""motor voter"" programs in all states prior to the 1996 presidential election. Using state-level registration and turnout data over the 1976-1992 period, this study finds that motor voter programs already implemented in many states have significantly increased participation rates. A duration-based specification of motor voter is employed, to account for the fact that driver's license renewal cycles last up to six years or even more in some states. Dummy-variable specifications are shown to underestimate the eventual impact of motor voter. Models include state dummy variables to control for long-standing differences in participation rates across states that otherwise bias coefficient estimates for registration closing date and other variables. In contrast to motor voter, other provisions required by the NVRA--including mail-in and agency-based registration, and limitations on the purging of voter rolls--show little evidence of effectiveness in the states where they have already been implemented.",Two-way,51*9,,,
10.2307/2960186,The Dynamic Structure of Congressional Elections,"Suzanna De Boef, James A. Stimson",The Journal of Politics,57,3,1995-08-01,pp. 630-648,"We address three questions. First we ask to what degree elections to the U.S. House of Representatives may be understood to reflect the influence of current public opinion? This requires us to entertain models of House elections with incumbency effects as a dynamic system. We ask, second, how do the effects of exogenous influences of all sorts work their way into ultimate House composition? Third, we ask if some portion of the effects attributed to incumbency might not be simply these dynamics, reasserted effects of previous elections, in addition to the well-known advantages individual incumbents accrue? We estimate pooled models of state-level aggregate voting for the House. We add Policy Mood to the usual set of explanations as a means to specify the central focus of democratic theories of elections. We focus on how incumbency translates contemporaneous effects of the explanatory variables into dynamic effects and on how this translation differentially affects the various inputs to the system.",One-way(Within),50*34,,Lagged DV,
10.2307/2952261,"Alliances, Preferential Trading Arrangements, and International Trade","Edward D. Mansfield, Rachel Bronson",The American Political Science Review,91,1,1997-03-01,pp. 94-107,"We analyze the effects of alliances and preferential trading arrangements on bilateral trade flows. Both factors are likely to promote trade among members, but we argue that the interaction between them is central to explaining patterns of commerce. The combination of an alliance, which creates political incentives for participants to engage in trade, and a commercial institution, which liberalizes trade among members, is expected to provide a considerable impetus to commerce among parties to both. The results of our quantitative analyses support these arguments. Both alliances and preferential trading arrangements strongly affected trade from 1960 to 1990, and allies that included a major power conducted considerably more trade than their nonmajor-power counterparts. Moreover, the interaction between alliances and preferential trading arrangements is fundamental to explaining patterns of bilateral commerce: Parties to a common preferential trading arrangement and a common alliance engage in markedly greater trade than do members of either type of institution but not both.",Two-way,*7,,"Lagged DV, White SE",
10.2307/2111773,The Public and the Supreme Court: Individual Justice Responsiveness to American Policy Moods,"Roy B. Flemming, B. Dan Wood",American Journal of Political Science,41,2,1997-04-01,pp. 468-498,"Individual Supreme Court justices care about policy, but they must compete with popular institutions for policy control. They also care about their institution. In order to secure as much as they can of policy goals and protect their institution, they adjust policy decisions at the margins in response to mass public opinion. Individual Supreme Court justice liberalism depends on shifts in mass public opinion through time. We test hypotheses using pooled time series cross-section analysis, with the individual justice-term as the unit of analysis. Controlling for the changing composition of the Court, attitudinal inertia of justices, and the strength of judicial ideologies, we find that public opinion directly affects decisions by individual members of the Court. We show that the result holds across various issue areas, is not restricted to only a few justices, and that the justices' responses are relatively quick with a lag of only one term.",One-way(Within),22*43,,Newey West SE,
10.2307/2998176,Federalism and the Number of Parties in Argentine Congressional Elections,Mark P. Jones,The Journal of Politics,59,2,1997-05-01,pp. 538-549,"This study examines the impact of provincial (state) elections on the number of electoral parties in national legislative elections. Using data from Argentina, the most salient determinant of electoral multipartism in national legislative elections was found to be the degree of temporal concurrence between the gubernatorial and congressional elections, not national rules such as the district magnitude or the presidential-legislative election timing cycle The analysis suggests that scholars studying the political consequences of electoral laws in national elections can profit from a greater consideration of the potential impact of subnational elections.",Two-way,24*7,,,
10.2307/2111680,Restrictive Rules Reconsidered,Keith Krehbiel,American Journal of Political Science,41,3,1997-07-01,pp. 919-944,"Three classes of theories--partisan, informational, and distributive--yield a diverse set of predictions about legislative organization and legislative outcomes. A specific area in which they are amenable to empirical tests is the House of Representatives' use of rules governing the amendment process. Dion and Huber (1996) propose and test a formal model of the choice of rules that lies solidly within the partisan or majority-party-leadership class of theory and also comports well with conventional wisdom about rules and their strategic uses by the majority party. The Dion-Huber theory identifies a necessary condition for open rules: that the House median voter lies interior to the Rules Committee median and the standing committee median. This condition defines a rule profile that Dion and Huber show helps to predict rule assignments. Informational and distributive theories yield additional hypotheses, only one of which Dion and Huber test. (1) Replication and extension of Dion and Huber's tests using their committee-level data set, OLS, GLS, and fixed-effects estimations. (2) Joint tests of the rule-profile hypothesis with informational and distributive hypotheses using a rule-level data set and probit analysis. In the committee-level data set, the rule-profile effect is sensitive to model specification. In the rule-level data set and in the presence of both informational and distributive variables, the rule-profile effect is barely or not at all distinguishable from zero. Information- and distributive-theoretic findings are significant and consistent with previous studies.",One-way(Within),2*104,,White SE,
10.2307/2991750,"Controlling the IRS: Principals, Principles, and Public Administration","John T. Scholz, B. Dan Wood",American Journal of Political Science,42,1,1998-01-01,pp. 141-162,"Theory: The behavior of government agencies reflects democratic principles of equal treatment and efficiency as well as the more-studied principle of responsiveness to elected political principals. Hypothesis: The variance in IRS enforcement actions against individual and corporate taxpayers across states and time can be explained by measures reflecting equal treatment of taxpayers, enforcement efficiency, and responsiveness to elected officials. Methods: We test the hypothesis using regression analysis of a pooled time-series of state-level audits of corporate and individual tax returns for the period of 1974-92. Results: The odds of corporate versus individual audits increase with increased Democratic control over Congress and change with different presidential administrations, but not with changes in state-level partisanship. The odds also respond significantly to changes in the composition of the taxpaying district and revenue base, suggesting IRS responsiveness to equity and efficiency.",One-way(Within),49*19,,Lagged DV,
10.2307/2648000,Representation and Public Policy: The Consequences of Senate Apportionment for the Geographic Distribution of Federal Funds,Frances E. Lee,The Journal of Politics,60,1,1998-02-01,pp. 34-62,"Political scientists have long believed that the formal arrangements of representative institutions make a difference for public policy; in spite of this, they have largely neglected to investigate the policy effects of Senate apportionment This paper tests the hypothesis that coalition building in the Senate will produce distributions of federal funds to states reflecting the enhanced representation of small states in the Senate Using Bickers and Stein's U. S. Domestic Assistance Programs Database, I find that, first, federal distributive programs are typically constructed so that a majority, frequently an overwhelming majority, of states benefit Second, using a pooled cross-sectional time-series design (N = 350), I examine the distributions of federal funds to states in different types of domestic assistance programs to determine if they bear the imprint of Senate apportionment I find that over-represented states tend to receive higher allocations of federal funds per capita, most notably in programs characterized as nondiscretionary distributive.",One-way(Time),50*17,Stimson (1985) and Sayrs (1989),PCSEs,
10.2307/2585929,Constructing a Supranational Constitution: Dispute Resolution and Governance in the European Community,"Alec Stone Sweet, Thomas L. Brunell",The American Political Science Review,92,1,1998-03-01,pp. 63-81,"We present a theory of European legal integration that relies on three causal factors: transnational exchange, triadic dispute resolution, and the production of legal norms. After stating the theory in abstract terms, we explain the construction of the legal system and test the relationship among our three variables over the life of the European Community. We then examine the effect of the EC legal system on policy outcomes at both the national and supranational levels in two policy domains: the free movement of goods and gender equality. Our theory outperforms its leading rival, intergovernmentalism. The evidence shows that European integration has generally been driven by transnational activity and the efforts of EC institutions to reduce transaction costs, behavior which governments react to but do not control.",One-way(Within),12*31,Stimson (1985) and Sayrs (1989),,
10.2307/2647914,Advocacy versus Certainty: The Dynamics of Committee Jurisdiction Concentration,John W. Hardin,The Journal of Politics,60,2,1998-05-01,pp. 374-397,"I present an aggregate-level theory paralleling the theory of market competition to explain the dynamics of committee jurisdiction concentration. The theory states that organized issue constituents and the larger voting public, respectively, make private (i.e., advocacy) and collective (i.e., certainty) demands for policy benefits supplied by committees. I hypothesize that the levels of these competing demands drive two activities changing committee jurisdiction concentrations: ""nonlegislative"" and ""legislative"" jurisdiction advances. To test my hypotheses, I use nonlegislative committee hearings and bill referrals over a 15-year period (1979-93) to construct annual, issue-specific. Herfindahl indexes measuring nonlegislative and legislative jurisdiction concentrations. I use PAC contributions and issue salience to measure private and collective demands for policy benefits. Using two OLS regression models, I find that both types of demand influence the two jurisdiction advancement activities. Moreover, nonlegislative jurisdiction advances produce a nonconcentrated jurisdictional arrangement, while legislative jurisdiction advances produce a concentrated jurisdictional arrangement.",One-way(Within),10*15,Stimson (1985),,
10.2307/2647912,Public Support for European Integration: An Empirical Test of Five Theories,Matthew Gabel,The Journal of Politics,60,2,1998-05-01,pp. 333-354,"Public opinion, through its impact on mass behavior, shapes and constrains the process of European integration Why do citizens vary in their support for European integration? Previous research offers a variety of sometimes conflicting explanations, but the available evidence is insufficient to determine which explanations are valid. This article seeks to contribute to the resolution of this controversy by empirically examining five prominent theories of support for integration. Through regression analyses of Eurobarometer surveys from the period 1978-1992, the analysis shows that the partisan context of integrative reforms and the utilitarian consequences of integrative policy provide robust explanations for variation in support. In contrast, two other prominent theories-political values and cognitive mobilization-are only valid in a limited context, and in this context they exert a small substantive impact on support.",Two-way,,Stimson (1985) and Sayrs (1989) and Beck and Katz (1995),White SE,
10.2307/2991736,Economic Integration and Mass Politics: Market Liberalization and Public Attitudes in the European Union,Matthew J. Gabel,American Journal of Political Science,42,3,1998-07-01,pp. 936-953,"Theory: Theories of how domestic politics influence international economic policy differ fundamentally in their treatment of the mass public. A central issue in this controversy is whether members of the mass public form attitudes about international economics that reflect their economic interests. This article examines this assumption using international economic theory to identify variation in economic interests regarding international economic policy. Hypotheses: Citizens of the European Union (EU) form attitudes toward EU membership-an international economic policy-that are consistent with their occupation-based economic interests. Methods: Individual-level heteroskedastic ordered probit analysis of Eurobarometer survey data and OECD economic statistics from 1975 to 1992. Results: While controlling for a variety of potentially confounding factors, the likelihood of positive evaluations of EU membership is positively related to intraoccupational differences in economic benefits from EU membership.",Two-way,,Stimson (1985) and Sayrs (1989) and Beck and Katz (1995),Alvarez and Brehm SE,
10.2307/2647645,"The Dynamics of Senatorial Representation, 1952-1991","B. Dan Wood, Angela Hinton Andersson",The Journal of Politics,60,3,1998-08-01,pp. 705-736,"We propose a dynamic model of representation that posits that representatives adapt through time to minimize the distance between policy choices and constituent, global, and personal preferences. Several hypotheses flow from the dynamic model: (1) equilibria develop through time in senator policy choice; (2) representatives adapt through time to global, as well as constituent preferences; (3) the manner in which adaptation occurs depends on the strength of the representative's personal ideology; (4) the manner in which adaptation occurs depends on various measures of constituency efficiency. We use pooled time-series cross-section analysis of covariance techniques to evaluate the preceding hypotheses. The analysis shows that senators integrate constituent, global, and personal preferences. Equilibria exist through time in Senator Policy Liberalism Adaptation to and from the equilibria depends on global and constituent preferences and efficiency. The manner of adaptation also depends on the strength of the representative's ideology and the efficiency of the constituency.",One-way(Within),270*39,Beck and Katz (1995),,
10.2307/2991857,Taking Time Seriously: Time-Series-Cross-Section Analysis with a Binary Dependent Variable,"Nathaniel Beck, Jonathan N. Katz, Richard Tucker",American Journal of Political Science,42,4,1998-10-01,pp. 1260-1288,10,One-way(Time),,,,
10.2307/2586302,Fiscal Policy Outcomes and Electoral Accountability in American States,"Robert C. Lowry, James E. Alt, Karen E. Ferree",The American Political Science Review,92,4,1998-12-01,pp. 759-774,"Clear fiscal policy effects appear in American state gubernatorial and legislative elections between 1968 and 1992, independent of the effects of incumbency, coattails, term limits, and macroeconomic conditions. The results show that accountability is generally stronger following a period of unified party control than under divided government. Voter reactions to taxes and spending relative to the state economy are conditional on expectations, which differ for each party. Net of these expectations, Republican gubernatorial candidates lose votes if their party is responsible for unanticipated increases in the size of the state budget; Democrats do not and, indeed, may be rewarded for small increases. Independent of this, the incumbent governor's party is punished in legislative elections for failing to maintain fiscal balance. Taken together, these results show how electoral accountability for fiscal policy outcomes is strong but highly contingent on a complex configuration of party labels, partisan control, expectations, and institutions.",One-way(Within),41*24,,,
10.2307/2585759,Comparing Interest Group Scores across Time and Chambers: Adjusted ADA Scores for the U.S. Congress,"Tim Groseclose, Steven D. Levitt, James M. Snyder, Jr.",The American Political Science Review,93,1,1999-03-01,pp. 33-50,"Interest group ratings are widely used in studies of legislative behavior. Since the set of votes used is not constant over time and across chambers, the scales underlying the scores can shift and stretch. We introduce an econometric model that corrects the problem. Specifically, we derive an index, much like an inflation index for consumer prices, that allows one to make intertemporal and interchamber comparisons of interest group ratings. The adjusted scores for the ADA show a strong liberal trend in the average member of Congress during 1947-94, followed by a conservative reversal. A nonparametric test using ADA and ACU scores demonstrates the validity of adjusted scores and the invalidity of nominal scores for intertemporal and interchamber comparisons. Using two studies (Levitt 1996; Shipan and Lowry 1997) we illustrate that the choice of adjusted versus nominal scores may greatly affect substantive conclusions of researchers.",Two-way,,,,
10.2307/2647512,"Conditional Party Government and Member Turnout on Senate Recorded Votes, 1873-1935","Richard Forgette, Brian R. Sala",The Journal of Politics,61,2,1999-05-01,pp. 467-484,"According to the conditional party government thesis, party members bond or precommit themselves to supporting party positions under certain circumstances. A test of this thesis asks whether party members are more likely to participate in a roll call vote when the question has been identified by party leaders as important to the party. We show that party leadership signals systematically affected member turnout levels in the U. S. Senate during 1873-1935. On average, two-party turnout on party-salient votes rose by more than five members during 1873-1923 and more than three members during 1923-35 relative to ""nonsalient"" votes. These results also provide evidence of cohesive partisan behavior in the Senate well before the parties began the regular practice of designating floor leaders and whips.",One-way(Within),100*30,,,
10.2307/2991830,Wage-Setting Institutions and Pay Inequality in Advanced Industrial Societies,Michael Wallerstein,American Journal of Political Science,43,3,1999-07-01,pp. 649-680,"The distribution of pay differs significantly across countries and over time among advanced industrial societies. In this paper, institutional and political determinants of pay inequality are studied in sixteen countries from 1980 to 1992. The most important factor in explaining pay dispersion is the level of wage-setting, i.e., whether wages are set at the level of the individual, the plant, the industry, or the entire private sector. The impact of centralization is the same whether centralization occurs via collective bargaining or via government involvement in private-sector wage-setting. The concentration of unions and the share of the labor force covered by collective bargaining agreements also matter. After controlling for wage-setting institutions, other variables such as the governing coalition, the size of government, international openness, and the supply of highly educated workers have little impact. Economic, political, and norm-based explanations for the association of centralization with egalitarian outcomes are discussed.",Two-way,16*12,,,
10.2307/2991843,Further Evidence of the Partisan Consequences of Legislative Professionalism,Morris P. Fiorina,American Journal of Political Science,43,3,1999-07-01,pp. 974-977,"In an earlier article I hypothesized that the professionalization of American state legislatures enhanced the electoral fortunes of the Democratic Party. While the statistical analyses reported in that article were consistent with the hypothesis, there has been lingering concern that the finding may be spurious. Specifically, if voter preferences within states increasingly supported both professionalization and Democratic candidates, the link between professionalization and Democratic success would reflect these underlying unmeasured preferences. Recently, state-specific time series measures of voter ideology were reported in an AJPS Workshop article. Incorporating these into the earlier analysis shows that shifts in voter ideology have a significant relationship to Democratic success, but the original relationship between professionalization and Democratic success is unaffected.",One-way(Within),31*44,,,
10.2307/2991832,Money and Majorities in the Federal Republic of Germany: Evidence for a Veto Players Model of Government Spending,Kathleen Bawn,American Journal of Political Science,43,3,1999-07-01,pp. 707-736,"I formulate a veto players model of policy making by coalition government in the Federal Republic of Germany. The model gives testable predictions about how patterns of federal spending respond to changes in government. Some of the predictions are consistent with conventional wisdom, namely that the SPD-FDP government decreased spending on right-wing items when it came to power in 1969, and the return of CDU-FDP coalition in 1982 produced a decline in left-wing spending. Other predictions are less intuitive. For example, there is no predicted increase in left-wing spending associated with the SPD-FDP coalition and no increase in right-wing spending with the CDU-FDP government. These predictions, and those of competing models, are tested using disaggregated budget data from fiscal years 1961-1989, controlling for category-specific effects and economic conditions. The data support the veto players model, and this support is robust to a wide variety of plausible assumptions about the parties' spending preferences.",One-way(Within),*28,,White SE,
10.2307/2991815,How Constraining is Capital Mobility? The Partisan Hypothesis in an Open Economy,Thomas Oatley,American Journal of Political Science,43,4,1999-10-01,pp. 1003-1027,"A growing literature argues that international financial integration has eliminated the possibility for distinct partisan macroeconomic strategies. I test this hypothesis by reformulating the partisan hypothesis in an open-economy context and conducting pooled time-series analysis of budget balances, real interest rates, and capital controls for fourteen OECD countries between 1970 and 1994. The analysis provides little evidence that financial integration has eliminated distinct partisan macroeconomic policies. Under fixed exchange rates leftist governments run larger deficits than rightist governments and use capital controls to reduce interest rate premia. Under floating exchange rates leftist governments pursue looser monetary policies than rightist governments. While partisan distinctions do weaken in the 1990s in countries with fixed exchange rates, this is attributed to the recession of the early 1990s and to important institutional changes in the European Union. International financial integration, therefore, does not prevent governments from pursuing distinct partisan macroeconomic policies.",One-way(Within),14*24,Beck and Katz (1995),"Lagged DV, White SE",
10.2307/2991826,"Public School Quality, Private Schools, and Race","Robert D. Wrinkle, Joseph Stewart, Jr., J. L. Polinard",American Journal of Political Science,43,4,1999-10-01,pp. 1248-1253,"Recent research suggests two competing theories explaining the relationship between public school performance and private school enrollment. The ""market reform"" theory posits that poor public school performance drives private school enrollment. A competing theory, suggested by Smith and Meier, contends that private school enrollment is a result of desires for religious instruction and racially segregated schools. We apply regression analyses to a pooled data set of seventy-three Texas counties over the period of 1991-95. Our analysis provides partial support for the Smith and Meier findings and no support for the ""market reform"" position.",One-way(Time),73*4,"Stimson (1985) and Beck, Katz and Turner (1998)",Lagged DV,
10.2307/2586112,"Democracy and Social Spending in Latin America, 1980-92","David S. Brown, Wendy Hunter",The American Political Science Review,93,4,1999-12-01,pp. 779-790,"What is the effect of regime type on public expenditures for social programs? We investigate the relationship between democracy and the change in social spending-controlling for GDP, the debt, inflation, and age structure of the population-through a time-series cross-sectional panel data set for 17 Latin American countries from 1980 to 1992. The results show that, especially in poor countries during economic crisis, democracies increase the allocation of resources to social programs relative to authoritarian regimes. This suggests that the latter are more constrained by economic forces, whereas democracies are more constrained by popular demands. Hence, calls to abandon broad categorizations of regime type appear to be premature: Democracy can matter in systematic and substantial ways.",One-way(Within),17*12,,PCSEs,
10.2307/2669299,Labor Organization and Electoral Participation in Industrial Democracies,"Benjamin Radcliff, Patricia Davis",American Journal of Political Science,44,1,2000-01-01,pp. 132-141,"The literature on the determinants of electoral participation has paid little attention to the role of labor organization. Adopting the familiar heuristic of costs and benefits, we argue that aggregate rates of turnout will be affected strongly by the strength of the labor movement. This hypothesis is tested using cross-sectional and pooled time series data for nineteen industrial democracies and the fifty American states. The results indicate that the greater the share of workers represented by unions, the greater is the turnout. Further analysis indicates that a portion of this effect occurs indirectly through labor's ability to move the ideological position of parties appealing to lower-and middle-status citizens farther to the left. The implications for the study of electoral politics, democratic theory, and public policy are discussed.",One-way(Within),19*28,Beck and Katz (1995),PCSEs,
10.2307/2669290,"Old Voters, New Voters, and the Personal Vote: Using Redistricting to Measure the Incumbency Advantage","Stephen Ansolabehere, James M. Snyder, Jr., Charles Stewart, III",American Journal of Political Science,44,1,2000-01-01,pp. 17-34,"We provide new estimates of the size of the personal vote in U.S. House elections from 1872 to 1990. We take advantage of the ""natural experiment"" that attends decennial redistricting: every ten years, most incumbents are given new districts that contain a combination of old and new territory. By contrasting an incombent's vote in the new part of the district with his or her vote in the old part of the district, we can estimate the magnitude of the personal vote-the vote that the incumbent receives because he or she represented the voters in the past. Our estimates confirm prior work that shows that a large fraction of the incumbency advantage owes to the personal vote, as opposed to challenger quality. Unlike past research, we are able to estimate the relationship between district partisanship and the personal vote. We find a significant interaction which shows that incumbents develop larger personal votes in areas where they are electorally most vulnerable.",One-way(Within),13000*116,,Lagged DV,
