id,doi,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work,abstract
10.2307/2945842,10.2307/2945842,Partisan Effects of Voter Turnout in Senatorial and Gubernatorial Elections,"Jack H. Nagel, John E. McNulty",The American Political Science Review,90,4,1996-12-01T00:00:00Z,pp. 780-793,American Political Science Association,fla,,"Conventional wisdom holds that higher turnout favors Democrats. Previous studies of this hypothesis rely on presidential and House elections or on survey data, but senatorial and gubernatorial elections offer better conditions for directly testing turnout effects in U.S. politics. In a comprehensive analysis of these statewide elections since 1928, we find that the conventional theory was true outside the South through 1964, but since 1965 the overall relationship between turnout and partisan outcomes has been insignificant. Even before the mid-1960s, the turnout effect outside the South was strongest in Republican states and insignificant or negative in heavily Democratic states. A similar but weaker pattern obtains after 1964. In the South, which we analyze only since 1966, higher turnout helped Republicans until 1990, but in 1990-94 the effect became pro-Democratic. The conventional theory cannot account for these complex patterns, but they are impressively consistent with DeNardo's (1980) theory."
10.2307/2944705,10.2307/2944705,Divided Government in the American States: A Byproduct of Legislative Professionalism?,Morris P. Fiorina,The American Political Science Review,88,2,1994-06-01T00:00:00Z,pp. 304-316,American Political Science Association,fla,,"Since World War II, divided government has become increasingly common in the American states. A significant component of the increase is the deterioration of Republican fortunes in state legislatures: after the 1990 and 1992 elections, for example, only five state legislatures were controlled by the Republicans. I shall examine the hypothesis that the professionalization of state legislatures makes legislative service more attractive to Democratic candidates and less attractive to Republican candidates, because full-time legislative service is incompatible with another career, and Democrats, on average, have less lucrative career opportunities than Republicans. Statistical analysis of post-World War II legislative elections outside the South is consistent with the argument: other things being equal, every ten-thousand-dollar increase in real biennial legislative compensation is associated with approximately a 1% increase in Democratic legislators."
10.2307/1962676,10.2307/1962676,The Dynamics of Structural Realignment,"Stuart Elaine MacDonald, George Rabinowitz",The American Political Science Review,81,3,1987-09-01T00:00:00Z,pp. 775-796,American Political Science Association,fla,,"Governments render decisions on how resources and values are allocated in a society. In the United States, Congress is the institution in which most of the key allocating decisions are made. To the extent the U.S. political system is integrated, the coalitions that form around the issues debated in Congress should be reflected in the coalitions that support presidential candidates and those that support the major political parties. We formulate a spatial theory of political change in which new ideological cleavages appear in congressional behavior and presidential elections and gradually reorganize the mass party base. The theory leads us explicitly to consider the question of dealignment and to specify conditions under which the parties will lose support from voters."
10.2307/30024514,10.2307/30024514,"When Registration Barriers Fall, Who Votes? An Empirical Test of a Rational Choice Model","Craig Leonard Brians, Bernard Grofman",Public Choice,99,2-Jan,1999-01-01T00:00:00Z,pp. 161-176,Springer,fla,,"It is well known that those with higher SES characteristics tend to vote at higher rates in U.S. elections. Over the past several decades many proponents of eased voter registration requirements have predicted that liberalizing voter registration laws will significantly improve turnout, especially among the least well-educated and the poor. In this article we offer a rational choice model of turnout that leads us to expect the greatest turnout gains from virtually eliminating voter registration costs will instead accrue to those with medium income and education. We test this prediction longitudinally over the period 1972-1992 using a vast survey and a natural experiment comparing voters in states that adopted election day registration (EDR) with those residing in states maintaining more traditional closing dates. Contrary to much of the literature, citizens with medium education and medium income voted more under EDR, as the model predicts. We conclude that the methods used here better capture and empirically identify the curvilinear relationship between voter registration laws and the turnout probabilities at various SES levels."
10.2307/2749522,10.2307/2749522,The Role of Constituent Trust in Congressional Elections,Glenn R. Parker,The Public Opinion Quarterly,53,2,1989-07-01T00:00:00Z,pp. 175-196,"American Association for Public Opinion Research, Oxford University Press",fla,,"The purpose of this inquiry is to introduce a new variable into the study of congressional elections-constituent trust. Constituent trust is defined as the level of confidence that constituents have in their elected representative. Thisanalysis suggests a strategy for measuring constituent trust and develops a model that relates constituent trust directly and indirectly to electoral support. By pooling cross-sectional data drawn from the University of Michigan'sAmerican National Election Studies (1978-84), I demonstrate that when constituent trust is salient in voter cognitions, it has a significant direct influence on electoral support and is a better predictor of electoral support than the incumbent's party identification. In addition to its direct effects, I show that constituent trust indirectly influences electoral support because of its casual relationship to incumbent popularity."
10.2307/40725131,10.2307/40725131,THE QUEST FOR THE DEMILITARIZATION OF INTERNATIONAL RELATIONS. OPENNESS VERSUS SECRECY IN RESEARCH AND DEVELOPMENT,Marek Thee,Current Research on Peace and Violence,12,4,1989-01-01T00:00:00Z,pp. 165-175,"Tampere Peace Research Institute, University of Tampere",fla,,
10.2307/451106,10.2307/451106,The United Nations International Covenant on Civil and Political Rights: Does It Make a Difference in Human Rights Behavior?,Linda Camp Keith,Journal of Peace Research,36,1,1999-01-01T00:00:00Z,pp. 95-118,"Sage Publications, Ltd.",fla,,"Formal acceptance of international agreements on human rights has progressed to the point where currently over three-quarters of the UN member states are parties to the International Covenant on Political and Civil Rights. In fact, becoming a party to this covenant seems to be concomitant with joining the UN. Of the newly independent states in Eastern Europe and in the region of the former Soviet Union, only Kazakhstan, Tajikistan, Moldova, and Macedonia have not joined the treaty. This article tests empirically whether becoming a party to this international treaty (and its optional protocol) has an observable impact on the state party's actual behavior. The hypothesis is tested across 178 countries over an eighteen-year period (1976-93) and across four different measures of state human rights behavior. Initial bivariate analyses demonstrate some statistically significant differences between the behavior of states parties and the behavior of non-party states. However, this difference does not appear in the bivariate analysis that compares the states parties' behavior before becoming a party to the treaty with their behavior after becoming a party state. When the analysis progresses to more sophisticated multivariate analysis, in which factors known to affect human rights are controlled, the impact of the covenant and its optional protocol disappears altogether. Overall, this study suggests that it may be overly optimistic to expect that being a party to this international covenant will produce an observable direct impact."
10.2307/440393,10.2307/440393,The Effects of Party Advantage on the Partisan Support of New U. S. House Members,"Patricia A. Hurley, Brinck Kerr",Legislative Studies Quarterly,25,1,2000-02-01T00:00:00Z,pp. 53-73,Comparative Legislative Research Center,fla,,"We argue that the partisan voting patterns of new members of the House of Representatives are affected by national political conditions. New members of a party advantaged by national forces should exhibit distinctively partisan voting patterns, while new members of the disadvantaged party should not. We use a comparative statics research design to examine eight congresses with large numbers of new members that were also characterized by different national forces. Multivariate OLS models of party support are used to isolate the effects of first-term status while controlling for other factors that might influence a member's willingness to support his or her party. We find that national forces have the expected general effect on the partisan support of new members of the advantaged party, and that the size of that effect varies with the particular character of the national forces."
10.2307/3877895,10.2307/3877895,"Women and Globalization: A Study of 180 Countries, 1975-2000","Mark M. Gray, Miki Caul Kittilson, Wayne Sandholtz",International Organization,60,2,2006-04-01T00:00:00Z,pp. 293-333,"Cambridge University Press, International Organization Foundation, The MIT Press, University of Wisconsin Press",fla,,"How do rising levels of international interconnectedness affect social, economic, and political conditions for women? Research on gender and international relations frequently offers clear propositions but seldom submits them to broad, quantitative testing. This article begins to fill that gap. We advance the hypothesis that, on balance and over time, increasing cross-national exchange and communication lead to improvements in women's status and equality. Economic aspects of globalization can bring new opportunities and resources to women. But equally important, globalization promotes the diffusion of ideas and norms of equality for women. In an analysis of 180 countries from 1975 to 2000, employing cross-sectional-time-series regression techniques, we examine the impact of several measures of globalization on women's levels of life expectancy, literacy, and participation in the economy and parliamentary office. International trade, foreign direct investment, membership in the United Nations (UN) and World Bank, and ratification of the Convention on the Elimination of All Forms of Discrimination Against Women (CEDAW), are associated with improved conditions for women."
10.2307/2991740,10.2307/2991740,State and National Factors in Gubernatorial and Senatorial Elections: A Rejoinder,"Thomas M. Carsey, Gerald C. Wright",American Journal of Political Science,42,3,1998-07-01T00:00:00Z,pp. 1008-1011,Midwest Political Science Association,fla,,"In their reply, Atkeson and Partin (1998) take issue with our replication and extension of their original paper (Carsey and Wright 1998) on three fronts. First, they claim that we overemphasize and possibly misinterpret the nature of the bias in reported voting behavior in the American National Election Study (ANES) series regarding subpresidential elections. Second, they claim our inclusion of state dummy variables mistakenly ""swamps"" important substantive findings. Third, they suggest that their findings are more generalizable because the ANES covers more elections than the exit polls cover in 1986 and 1990."
10.2307/424921,10.2307/424921,"A Global Analysis of the Effect of Political Regime Changes on Life Integrity Violations, 1977-93",Sabine C. Zanger,Journal of Peace Research,37,2,2000-03-01T00:00:00Z,pp. 213-233,"Sage Publications, Ltd.",fla,,"This study develops a model of different types of political regime changes and their effect on life integrity violations. The data cover 147 countries from 1977-93. A multivariate pooled cross-sectional time-series research design is used, employing Ordinary Least Squares regression with panel-corrected standard errors. This research focuses on different types of regime change that vary in direction and intensity. It tests the effect of political regime changes on life integrity violations at time t and at time t - 1. The results show that regime change in general does not alter the levels of repression. However, change from autocracy toward democracy decreases repression during the transition period, whereas change from democracy to anocracy increases life integrity violations. It is also shown that the higher the magnitude of democratization, the less state violence occurs during the year of the change, once relevant control variables are considered."
10.2307/425317,10.2307/425317,Taming the Tiger: Militarization and Democracy in Latin America,Kirk S. Bowman,Journal of Peace Research,33,3,1996-08-01T00:00:00Z,pp. 289-308,"Sage Publications, Ltd.",fla,,"The relationship between militarization and democracy in Latin America 1972-86 is evaluated. Two dimensions of democracy loosely based on Dahl's Polyarchy - average democracy over time and the lowest level of democracy during a multi-year period of time - are regressed against two indicators of militarization, military spending and military participation ratios. In pooled time-series analyses, it is shown that: (a) military spending has a significant negative effect on democracy scores over time; and (b) that military participation ratios have a more robust negative impact. In an alternative cross-sectional design and holding the lagged level of democracy constant, both militarization indicators are strongly related to low levels of democracy during a multi-year time period. When the two indicators are simultaneously utilized as regressors, military participation ratio remains robust and military spending becomes trivial. It is suggested that military participation ratios have a much stronger negative effect on democracy because (a) the data are more reliable for participation than expenditures, and (b) military participation ratio includes a pro-authoritarian socializing dimension. No evidence exists to support reversed causality: High militarization causes low levels of democracy, low levels of democracy do not cause militarization. Finally, it is shown that the negative impact of militarization on democracy began to diminish in the late 1970s, such that the negative effect is much stronger in 1973-74 than in 1985-86."
10.2307/2998219,10.2307/2998219,Comparative Democracy and Income Distribution: Shape and Direction of the Causal Arrow,Ross E. Burkhart,The Journal of Politics,59,1,1997-02-01T00:00:00Z,pp. 148-164,"Cambridge University Press, Southern Political Science Association",fla,,"Few research studies examine the effect of income distribution on democracy cross-nationally in a simultaneous equation environment (with democracy also influencing income distribution). The most recent such study asserts that no linear relationship exists between the two variables, without testing for nonlinear relationships. In this study, I operationalize democracy and income distribution for 56 countries over the years 1973-1988. I find through pooled two-stage least-squares estimation that democracy and income distribution have nonlinear effects on each other (inverted U-shaped curves). I reflect on these findings as they affect public policy."
10.2307/2131802,10.2307/2131802,Solving a Puzzle: Aggregate Analysis and Economic Voting Revisited,Benjamin Radcliff,The Journal of Politics,50,2,1988-05-01T00:00:00Z,pp. 440-455,"Cambridge University Press, Southern Political Science Association",fla,,"This paper proposes an alternative explanation for the lack of congruence between aggregate and individual level studies of economic voting through a reexamination and extension of the aggregate time series. While aggregate level studies find a strong relationship between the state of the economy and the congressional vote, individual level studies performed in the latter half of the postwar era find little or no relationship between personal economic conditions and vote choice. It is argued that this lack of congruence exists because the impact of short-term economic fluctuations on voting in congressional elections has decreased dramatically over time. Using aggregate data, the relationship between economic changes and voting patterns is found to be time dependent; economic conditions are no longer major determinants of House elections. An examination of Senate elections indicates that this trend is limited to the House, in that economic fluctuations continue to influence senatorial contests. This House-Senate difference, it is proposed, stems from the different electoral dynamics of the two chambers."
10.2307/2111426,10.2307/2111426,"A Spatial Model of Roll Call Voting: Senators, Constituents, Presidents, and Interest Groups in Supreme Court Confirmations","Jeffrey A. Segal, Charles M. Cameron, Albert D. Cover",American Journal of Political Science,36,1,1992-02-01T00:00:00Z,pp. 96-121,Midwest Political Science Association,fla,,"We test a spatial model of Supreme Court confirmation votes that examines the effects of (1) the ideological distance between senators' constituents and nominees, (2) the personal ideologies of senators, (3) the qualifications of the nominee, (4) the strength of the president, and (5) the mobilization for and against nominees by interest groups. The data consist of the 1,475 individual confirmation votes from the 1955 nomination of John Harlan until the 1987-88 nomination of Anthony Kennedy (voice votes excluded). All of the above factors significantly affect confirmation voting. The model explains 78% of the variance in senators' decisions, predicts 92% of the individual votes correctly, and predicts all of the aggregate outcomes correctly."
10.2307/174027,10.2307/174027,Third World Militarization: Security Webs and the States They Ensnare,Robert M. Rosh,The Journal of Conflict Resolution,32,4,1988-12-01T00:00:00Z,pp. 671-698,"Sage Publications, Inc.",fla,,"This study statistically examines the causes of variance in military expenditures as a percentage of Gross National Product for 63 Third World states from 1969-1978 using a pooled time-series analysis. A country's immediate external environment (its security web), its political process, and its degree of incorporation into and dependence on the world economy are analyzed as to their effect on its defense burden. The findings provide strong statistical evidence that a Third World country's immediate external environment has a significant impact on that country's military burden, thereby suggesting that a subsystemic level of analysis is needed in studying state military allocations."
10.2307/41219691,10.2307/41219691,"The Contemporary Presidency: And We Will Know Their Greatness by the Trail of Controversy: Washington, Lincoln, and Franklin D. Roosevelt and Their Increasingly Contested Successors",GUNNAR GRENDSTAD,Presidential Studies Quarterly,38,3,2008-09-01T00:00:00Z,pp. 476-490,"Center for the Study of the Presidency and Congress, Wiley",fla,,"Presidential scholars hypothesize that presidential contestedness increases among recent presidents only because of unfinished research or within historical eras because of growing governing problems. Applying unused data from studies of scholarly assessments of presidential performance, this analysis disconfirms the recency hypothesis and confirms the era hypothesis. Presidential contestedness increases after each of the least contested presidents: George Washington, Abraham Lincoln, and Franklin D. Roosevelt. Uncontestedness is a hard act to follow."
10.2307/1963174,10.2307/1963174,"Government Partisanship, Labor Organization, and Macroeconomic Performance","R. Michael Alvarez, Geoffrey Garrett, Peter Lange",The American Political Science Review,85,2,1991-06-01T00:00:00Z,pp. 539-556,American Political Science Association,fla,,"Governments of the Left and Right have distinct partisan economic policies and objectives that they would prefer to pursue. Their propensity to do so, however, is constrained by their desire for reelection. We argue that the ability of governments to further their partisan interests and preside over reelectable macroeconomic outcomes simultaneously is dependent on the organization of the domestic economy, particularly the labor movement. We hypothesize that there are two different paths to desirable macroeconomic performance. In countries with densely and centrally organized labor movements, leftist governments can promote economic growth and reduce inflation and unemployment. Conversely, in countries with weak labor movements, rightist governments can pursue their partisan-preferred macroeconomic strategies and achieve similarly beneficial macroeconomic outcomes. Performance will be poorer in other cases. These hypotheses are supported by analysis of pooled annual time series data for 16 advanced industrial democracies between 1967 and 1984."
10.2307/424671,10.2307/424671,Instruments of Security or Tools of Repression? Arms Imports and Human Rights Conditions in Developing Countries,Shannon Lindsey Blanton,Journal of Peace Research,36,2,1999-03-01T00:00:00Z,pp. 233-244,"Sage Publications, Ltd.",fla,,"Scholars traditionally have focused on arms as a means of deterring, initiating, maintaining, or terminating international war. Indeed, based on the assumption that a coercive military response is required if security is to be preserved, arms are widely viewed as an instrument of defense from external threat. In the developing world, however, internal threats are far more common. Yet the role of arms in facilitating domestic political violence has received far less scholarly attention. This article endeavors to expand upon both our understanding of arms as a source of conflict and our knowledge of the correlates of human rights repression. To this end, this study tests the relationship between the importation of arms and the repression of personal integrity rights. Employing a pooled time-series cross-sectional design, the patterns of arms acquisitions behavior and human rights violations are examined for developing countries for the years 1982 through 1992. The results indicate that arms imports by developing countries are linked to poor human rights conditions. Thus, arms acquisitions appear to contribute to repression by making violent political acts more feasible."
10.2307/2585929,10.2307/2585929,Constructing a Supranational Constitution: Dispute Resolution and Governance in the European Community,"Alec Stone Sweet, Thomas L. Brunell",The American Political Science Review,92,1,1998-03-01T00:00:00Z,pp. 63-81,American Political Science Association,fla,,"We present a theory of European legal integration that relies on three causal factors: transnational exchange, triadic dispute resolution, and the production of legal norms. After stating the theory in abstract terms, we explain the construction of the legal system and test the relationship among our three variables over the life of the European Community. We then examine the effect of the EC legal system on policy outcomes at both the national and supranational levels in two policy domains: the free movement of goods and gender equality. Our theory outperforms its leading rival, intergovernmentalism. The evidence shows that European integration has generally been driven by transnational activity and the efforts of EC institutions to reduce transaction costs, behavior which governments react to but do not control."
10.2307/449259,10.2307/449259,Defense Contracting and Domestic Politics,"Karl Derouen, Jr., Uk Heo",Political Research Quarterly,53,4,2000-12-01T00:00:00Z,pp. 753-769,"Sage Publications, Inc., University of Utah",fla,,"Scholars have investigated the relationship between defense spending and domestic political constraints. Because of a two-year time lag, however, it is difficult to make a theoretical link between the aggregate defense budget and domestic politics. We focus on defense contract awards because of their rapid turn-around. We advance the referendum model to account for variations in the timing of defense contracts within administrations. The referendum model posits that government policies are reflective of approval ratings and that the President uses defense contracts to counter sagging approval and/or a weak economy. This is a subtle but important alternative to political business cycle (PBC) models which constrain political manipulation of the defense budget to the electoral cycle. An empirical model is tested using pooled time-series analysis which allows us to assess variation within administrations. The analysis reveals that presidential approval, war, presidential reelection, and unemployment are determinants of defense contracting."
10.2307/440193,10.2307/440193,"State Legislative Professionalism and Gubernatorial Effectiveness, 1978-1991","Robert Jay Dilger, George A. Krause, Randolph R. Moffett",Legislative Studies Quarterly,20,4,1995-11-01T00:00:00Z,pp. 553-571,Comparative Legislative Research Center,fla,,"This is the first systematic study to explore the determinants of gubernatorial effectiveness from a contemporary, comparative state perspective. Factor analysis is employed to devise valid and reliable index-based measures of gubernatorial powers, enabling resources, and state legislative professionalism. Next, using data from all 50 states for the biennial periods from 1978 to 1991, we test a multivariate probabilistic model of determining whether a most effective governor is currently in office. The logistic regression results indicate that gubernatorial effectiveness in office is associated with the presence of a highly professionalized state legislature, relatively high state economic growth, and joint increases in gubernatorial institutional powers and enabling resources. This suggests that both institutional and environmental considerations influence gubernatorial effectiveness in office and that the power relationship between the governor and the state legislature is not necessarily a zero-sum game, with one institution gaining influence at the expense of the other."
10.2307/449053,10.2307/449053,Political Similarity and American Foreign Trade Patterns,"William J. Dixon, Bruce E. Moon",Political Research Quarterly,46,1,1993-03-01T00:00:00Z,pp. 5-25,"Sage Publications, Inc., University of Utah",fla,,"International economic flows have become an increasingly prominent component of both international relations and domestic politics over the last two decades. Even though politically motivated governments have played a growing role in shaping these transactions, empirical studies have largely ignored the political determinants of international trade patterns. This study addresses that important gap in our understanding of the international political economy with particular reference to United States trade. We theorize that two aspects of the relations between nations should predict enhanced trade levels: similarity in political system and similarity in foreign policy orientation. We test this proposition for U.S. exports to 76 importing nations over an 18-year period in a pooled time-series design that controls for known influences on trade flows. Our results suggest that these two political factors have a substantial and predictable impact on U.S. export patterns. We consider some possible criticisms of our results along with some suggestions for future research."
10.2307/2998176,10.2307/2998176,Federalism and the Number of Parties in Argentine Congressional Elections,Mark P. Jones,The Journal of Politics,59,2,1997-05-01T00:00:00Z,pp. 538-549,"Cambridge University Press, Southern Political Science Association",fla,,"This study examines the impact of provincial (state) elections on the number of electoral parties in national legislative elections. Using data from Argentina, the most salient determinant of electoral multipartism in national legislative elections was found to be the degree of temporal concurrence between the gubernatorial and congressional elections, not national rules such as the district magnitude or the presidential-legislative election timing cycle The analysis suggests that scholars studying the political consequences of electoral laws in national elections can profit from a greater consideration of the potential impact of subnational elections."
10.2307/2111314,10.2307/2111314,The Impact of Personal and National Economic Conditions on the Presidential Vote: A Pooled Cross-Sectional Analysis,Gregory B. Markus,American Journal of Political Science,32,1,1988-02-01T00:00:00Z,pp. 137-154,Midwest Political Science Association,fla,,"Studies of the electoral consequences of changing economic conditions have not been able to distinguish the effects of macroeconomic conditions on the vote from those of personal financial circumstances. That is because research to date has relied either on exclusively aggregate-level information analyzed longitudinally or exclusively individual-level survey data analyzed cross-sectionally. This study employs a pooling of National Election Studies survey data, 1956-84, augmented by a time series of national economic statistics to evaluate ""sociotropic"" and ""pocketbook"" conceptions of voting and to assess the advantage of incumbency in presidential elections. Personal financial predicaments are found to carry weight in individuals' voting decisions, but changing macroeconomic conditions are more important as determinants of election outcomes. Also, the degree to which incumbency is an electoral asset depends upon election-year economic circumstances. Although it was not designed for such purposes, the model presented here generally forecast presidential election outcomes well, even though it ignored the personalities and issues of the campaigns. That result provokes some thoughts about the impact of campaign events and strategies on presidential contests."
10.2307/27735118,10.2307/27735118,"Inequality and Human Rights: Who Controls What, When, and How","Todd Landman, Marco Larizza",International Studies Quarterly,53,3,2009-09-01T00:00:00Z,pp. 715-736,"The International Studies Association, Wiley",fla,,"This article tests the empirical relationship between inequality and the protection of personal integrity rights using a cross-national time-series data set for 162 countries for the year 1980–2004. The data comprise measures of land inequality, income inequality, and a combined factor score for personal integrity rights protection, while the analysis controls for additional sets of explantory variables related to development, political regimes, ethnic composition, and domestic conflict. The analysis shows robust support for the empirical relationship between income inequality and personal integrity rights abuse across the whole sample of countries as well as for distinct subsets, including non-communist countries and non-OECD countries. The hypothesized effect of land inequality is also born out by the data, although its effects are less substantial and less robust across different methods of estimation. Additional variables with explanatory weight include the level of income, democracy, ethnic fragmentation, domestic conflict, and population size. Sensitivity analysis suggests that the results are not due to reverse causation, misspecification or omitted variable bias. The analysis is discussed in the context of inequality and rights abuse in specific country cases and the policy implications of the results are considered in the conclusion."
